tournament_id,player_name,secured_round,eliminated,draw_position,seeding_group
1,Benjamin Bonzi (FRA),-1,0,109,Unseeded
1,Patrick Kypson (USA),-1,0,110,Unseeded
1,Jack Draper (GBR),-1,0,111,Unseeded
1,Thanasi Kokkinakis (AUS),-1,0,112,Unseeded
1,Vilius Gaubas (LTU),-1,0,113,Unseeded
1,Kyrian Jacquet (FRA),-1,0,114,Unseeded
1,Jan Choinski (GBR),-1,0,115,Unseeded
1,Daniel Altmaier (GER),-1,0,116,Unseeded
1,Alex Michelsen (USA),-1,0,117,Unseeded
1,Alex Molcan (SVK),-1,0,118,Unseeded
1,Alexei Popyrin (AUS),-1,0,119,Unseeded
1,Jaume Munar (ESP),-1,0,120,Unseeded
1,Jacob Fearnley (GBR),-1,0,121,Unseeded
1,Corentin Moutet (FRA),-1,0,122,Unseeded
1,Quentin Halys (FRA),-1,0,123,Unseeded
1,Marcos Giron (USA),-1,0,124,Unseeded
1,Valentin Royer (FRA),-1,0,125,Unseeded
1,Harry Wendelken (GBR),-1,0,126,Unseeded
1,Alexander Blockx (BEL),-1,0,127,Unseeded
2,(1)Aryna Sabalenka (BLR),-1,0,0,1-2
2,(2)Elena Rybakina (KAZ),-1,0,1,1-2
2,(3)Iga Swiatek (POL),-1,0,2,3-4
2,(4)Jessica Pegula (USA),-1,0,3,3-4
2,(5)Mirra Andreeva (RUS),-1,0,4,5-8
2,(6)Amanda Anisimova (USA),-1,0,5,5-8
2,(7)Coco Gauff (USA),-1,0,6,5-8
2,(8)Elina Svitolina (UKR),-1,0,7,5-8
2,(9)Linda Noskova (CZE),-1,0,8,9-16
2,(10)Karolina Muchova (CZE),-1,0,9,9-16
2,(11)Belinda Bencic (SUI),-1,0,10,9-16
2,(12)Marta Kostyuk (UKR),-1,0,11,9-16
2,(13)Jasmine Paolini (ITA),-1,0,12,9-16
2,(14)Naomi Osaka (JPN),-1,0,13,9-16
2,(15)Diana Shnaider (RUS),-1,0,14,9-16
2,(16)Iva Jovic (USA),-1,0,15,9-16
2,(17)Sorana Cirstea (ROU),-1,0,16,17-32
2,(18)Ekaterina Alexandrova (RUS),-1,0,17,17-32
2,(19)Anna Kalinskaya (RUS),-1,0,18,17-32
2,(20)Maja Chwalinska (POL),-1,0,19,17-32
2,(21)Marie Bouzkova (CZE),-1,0,20,17-32
2,(22)Leylah Fernandez (CAN),-1,0,21,17-32
2,(23)Emma Navarro (USA),-1,0,22,17-32
2,(24)Clara Tauson (DEN),-1,0,23,17-32
2,(25)Elise Mertens (BEL),-1,0,24,17-32
2,(26)Madison Keys (USA),-1,0,25,17-32
2,(27)Anastasia Potapova (RUS),-1,0,26,17-32
2,(28)Ann Li (USA),-1,0,27,17-32
2,(29)Alexandra Eala (PHI),-1,0,28,17-32
2,(30)Emma Raducanu (GBR),-1,0,29,17-32
2,(31)Donna Vekic (CRO),-1,0,30,17-32
2,(32)Katerina Siniakova (CZE),-1,0,31,17-32
2,Magda Linette (POL),-1,0,32,Unseeded
2,Hannah Klugman (GBR),-1,0,33,Unseeded
2,Barbora Krejcikova (CZE),-1,0,34,Unseeded
2,Nikola Bartunkova (CZE),-1,0,35,Unseeded
